M,second,sonic,detach,von,thrid,uevon,uedetach
1.1,1.715,1.8932,2.031,2.031,2.1351,4.6553,4.7789
1.11,1.7012,1.8931,2.0454,2.0454,2.1618,4.7714,4.7715
1.12,1.688,1.8937,2.06,2.06,2.189,4.8909,4.8909
1.13,1.6755,1.8936,2.0746,2.0746,2.2167,4.9815,4.9516
1.14,1.6635,1.8936,2.0894,2.0894,2.2449,5.0449,5.2065
1.15,1.652,1.8944,2.1043,2.1043,2.2736,5.2364,5.2372
1.16,1.6411,1.8944,2.1194,2.1194,2.3028,5.2752,5.4377
1.17,1.6307,1.8944,2.1345,2.1345,2.3325,5.3383,5.4877
1.18,1.6208,1.8954,2.1498,2.1498,2.3628,5.6813,5.8612
1.19,1.6114,1.8955,2.1652,2.1652,2.3936,5.7172,5.7524
1.2,1.6024,1.8956,2.1807,2.1807,2.425,5.754,6.1232
1.21,1.5939,1.8958,2.1964,2.1964,2.4569,5.8272,6.0317
1.22,1.5858,1.897,2.2121,2.2121,2.4894,5.9043,6.3983
1.23,1.5781,1.8972,2.2281,2.2281,2.5224,6.2486,6.4549
1.24,1.5708,1.8975,2.2441,2.2441,2.556,6.2918,6.6872
1.25,1.5639,1.899,2.2603,2.2603,2.5903,6.3416,6.9401
1.26,1.5574,1.8994,2.2766,2.2766,2.6251,6.5809,6.9926
1.27,1.5513,1.8997,2.293,2.293,2.6606,6.6283,7.0936
1.28,1.5455,1.9015,2.3096,2.3096,2.6967,6.7105,7.3289
1.29,1.5401,1.902,2.3263,2.3263,2.7334,6.9352,7.4376
1.3,1.535,1.9025,2.3431,2.3431,2.7707,6.9995,7.6822
1.31,1.5303,1.9045,2.3601,2.3601,2.8088,7.1044,7.9311
1.32,1.5259,1.9052,2.3773,2.3773,2.8474,7.3124,8.2236
1.33,1.5217,1.9073,2.3945,2.3945,2.8868,7.4101,8.3117
1.34,1.5179,1.9081,2.4119,2.4119,2.9269,7.5246,8.5972
1.35,1.5144,1.9089,2.4295,2.4295,2.9676,7.7263,8.711
1.36,1.5112,1.9114,2.4472,2.4472,3.0091,7.848,8.9881
1.37,1.5082,1.9123,2.465,2.465,3.0513,7.9725,9.1296
1.38,1.5056,1.915,2.483,2.483,3.0942,8.1826,9.4137
1.39,1.5032,1.9161,2.5012,2.5012,3.1378,8.3147,9.5684
1.4,1.5011,1.9172,2.5195,2.5195,3.1823,8.5291,9.8636
1.41,1.4992,1.9201,2.5379,2.5379,3.2275,8.6689,10.028
1.42,1.4976,1.9214,2.5565,2.5565,3.2734,8.8119,10.335
1.43,1.4962,1.9245,2.5753,2.5753,3.3202,9.0358,10.648
1.44,1.4951,1.926,2.5942,2.5942,3.3678,9.1869,10.829
1.45,1.4942,1.9292,2.6132,2.6132,3.4162,9.3415,11.153
1.46,1.4936,1.9308,2.6325,2.6325,3.4654,9.5755,11.346
1.47,1.4932,1.9343,2.6519,2.6519,3.5155,9.7386,11.683
1.48,1.493,1.9361,2.6714,2.6714,3.5665,9.9781,12.056
1.49,1.493,1.9398,2.6911,2.6911,3.6183,10.15,12.237
1.5,1.4933,1.9435,2.711,2.711,3.671,10.326,12.601
1.51,1.4938,1.9456,2.7311,2.7311,3.7247,10.577,12.818
