Theta,Hm,Htmax,Htmin
32.240278,0.486332,1.080001,0.534376
32.186191,0.484568,1.081052,0.532797
32.132275,0.482807,1.082102,0.531223
32.078589,0.481053,1.083154,0.529657
32.025132,0.479306,1.084207,0.528100
31.971847,0.477562,1.085259,0.526547
31.918791,0.475825,1.086312,0.525003
31.865907,0.474091,1.087364,0.523464
31.813252,0.472364,1.088418,0.521933
31.760769,0.472370,1.091199,0.522136
31.708458,0.469947,1.091548,0.519911
31.656434,0.468211,1.092580,0.518376
31.604524,0.465499,1.092630,0.515865
31.552843,0.463795,1.093684,0.514365
31.501334,0.462094,1.094736,0.512868
31.450054,0.460401,1.095792,0.511381
31.398947,0.458711,1.096847,0.509897
31.348011,0.457024,1.097901,0.508419
31.297304,0.455345,1.098959,0.506950
31.246769,0.453669,1.100015,0.505484
31.196406,0.451995,1.101069,0.504023
31.146272,0.450330,1.102129,0.502572
31.096310,0.448667,1.103187,0.501125
31.046520,0.447008,1.104245,0.499682
30.996902,0.445353,1.105302,0.498244
30.947456,0.443700,1.106359,0.496810
30.898239,0.442055,1.107420,0.495386
30.849194,0.440414,1.108481,0.493966
30.800320,0.438776,1.109542,0.492551
30.751619,0.437142,1.110603,0.491141
30.703089,0.435511,1.111663,0.489735
30.654732,0.433883,1.112723,0.488334
30.606603,0.432264,1.113790,0.486942
30.558589,0.430644,1.114851,0.485551
30.510805,0.429032,1.115917,0.484169
30.463135,0.427418,1.116979,0.482787
30.415694,0.425814,1.118046,0.481415
30.368367,0.424208,1.119110,0.480043
30.321270,0.422611,1.120179,0.478680
30.274288,0.421013,1.121244,0.477319
30.227534,0.419424,1.122315,0.475966
30.180896,0.417834,1.123382,0.474614
30.134429,0.416247,1.124449,0.473267
30.088191,0.414669,1.125523,0.471930
30.042068,0.413091,1.126593,0.470593
29.996117,0.411517,1.127665,0.469261
29.950280,0.409942,1.128734,0.467930
29.904673,0.408375,1.129808,0.466609
29.859237,0.406814,1.130885,0.465294
29.813916,0.405251,1.131958,0.463978
29.768767,0.403693,1.133034,0.462668
29.723790,0.402139,1.134110,0.461363
29.678927,0.400585,1.135185,0.460060
29.634294,0.399040,1.136266,0.458766
29.589775,0.397495,1.137345,0.457473
29.545428,0.395954,1.138425,0.456186
29.501196,0.394412,1.139503,0.454899
29.457135,0.392876,1.140584,0.453618
29.413247,0.391344,1.141667,0.452343
29.369530,0.389816,1.142752,0.451073
29.325928,0.388289,1.143836,0.449804
29.282498,0.386766,1.144922,0.448541
29.239182,0.385243,1.146005,0.447278
29.196038,0.383724,1.147092,0.446022
29.153067,0.382211,1.148183,0.444771
29.110209,0.380698,1.149271,0.443522
29.067524,0.379189,1.150361,0.442278
29.024953,0.377682,1.151451,0.441036
28.982554,0.376178,1.152544,0.439799
28.940270,0.374675,1.153635,0.438563
28.898158,0.373178,1.154730,0.437334
28.856160,0.371680,1.155823,0.436106
28.814334,0.370188,1.156920,0.434885
28.772623,0.368695,1.158015,0.433664
28.731083,0.367209,1.159115,0.432449
28.689658,0.365722,1.160212,0.431236
28.648405,0.364241,1.161315,0.430030
28.607267,0.362761,1.162416,0.428824
28.566243,0.361281,1.163516,0.427620
28.525391,0.359807,1.164622,0.426423
