Theta,Hm
20.871878,0.000641
20.892218,0.001979
20.912616,0.003317
20.933070,0.004655
20.953525,0.005990
20.974094,0.007329
20.994606,0.008661
21.015232,0.009997
21.035859,0.011330
21.056543,0.012662
21.077284,0.013995
21.098082,0.015328
21.118881,0.016658
21.139736,0.017988
21.160649,0.019318
21.181619,0.020649
21.202590,0.021976
21.223617,0.023303
21.244702,0.024631
21.265844,0.025958
21.287044,0.027286
21.308243,0.028607
21.329500,0.029932
21.350814,0.031257
21.372128,0.032578
21.393557,0.033904
21.414985,0.035226
21.436471,0.036548
21.458014,0.037870
21.479557,0.039189
21.501215,0.040512
21.522873,0.041831
21.544588,0.043151
21.566361,0.044471
21.588133,0.045789
21.610020,0.047108
21.631907,0.048427
21.653851,0.049746
21.675853,0.051066
21.697912,0.052375
21.719971,0.053686
21.742144,0.055002
21.764318,0.056318
21.786548,0.057631
21.808836,0.058945
21.831182,0.060270
21.853584,0.061585
21.875987,0.062897
21.898504,0.064213
21.921021,0.065526
21.943596,0.066834
21.966228,0.068146
21.988917,0.069459
22.011606,0.070768
22.034410,0.072081
22.057271,0.073393
22.080132,0.074703
22.103050,0.076012
22.126026,0.077294
22.149116,0.078606
22.172149,0.079910
22.195296,0.081218
22.218501,0.082526
22.241763,0.083834
22.265025,0.085138
22.288402,0.086446
22.311779,0.087751
22.335270,0.089059
22.358761,0.090363
22.382310,0.091668
22.405973,0.092976
22.429636,0.094280
22.453357,0.095585
22.477134,0.096889
22.500969,0.098193
22.524862,0.099498
22.548811,0.100802
22.572818,0.102106
22.596825,0.103407
22.620947,0.104711
22.645126,0.106015
22.669362,0.107319
22.693598,0.108619
22.717948,0.109923
22.742356,0.111227
22.766822,0.112531
22.791287,0.113830
22.815867,0.115134
22.840504,0.116437
22.865141,0.117737
22.889893,0.119040
22.914702,0.120343
22.939569,0.121646
22.964492,0.122949
22.989416,0.124247
23.014454,0.125550
23.039550,0.126852
23.064703,0.128154
23.089913,0.129456
23.115180,0.130757
23.140562,0.132063
23.165944,0.133364
23.191383,0.134665
23.216880,0.135966
23.242491,0.137270
23.268103,0.138570
23.293828,0.140031
23.319611,0.141347
23.345395,0.142652
23.371292,0.143928
23.397247,0.145083
23.423260,0.146386
23.449386,0.147692
23.475513,0.148994
23.501697,0.150295
23.527996,0.151600
23.554352,0.152905
23.580766,0.154209
23.607236,0.155513
23.633764,0.156817
23.660349,0.158120
23.687049,0.159426
23.713749,0.160729
23.740564,0.162035
23.767435,0.163340
23.794364,0.164645
23.821351,0.165949
23.848451,0.167257
23.875610,0.168565
23.902768,0.169868
23.930098,0.171178
23.957428,0.172484
23.984815,0.173790
24.012317,0.175099
24.039877,0.176407
24.067493,0.177715
24.095224,0.179026
24.122956,0.180332
24.150801,0.181642
24.178762,0.182956
24.206722,0.184264
24.234797,0.185577
24.262929,0.186888
24.291119,0.188199
24.319366,0.189509
24.347727,0.190822
24.376146,0.192135
24.404679,0.193451
24.433212,0.194762
24.461860,0.196076
24.490623,0.197394
24.519385,0.198707
24.548262,0.200024
24.577254,0.201345
24.606245,0.202658
24.635352,0.203975
24.664573,0.205297
24.693793,0.206613
24.723129,0.207932
24.752579,0.209254
24.782086,0.210576
24.811651,0.211897
24.841273,0.213216
24.871009,0.214539
24.900860,0.215865
24.930769,0.217190
24.960734,0.218514
24.990757,0.219836
25.020895,0.221162
25.051147,0.222491
25.081457,0.223819
25.111823,0.225146
25.142305,0.226476
25.172843,0.227804
25.203497,0.229136
25.234207,0.230467
25.265032,0.231800
25.295915,0.233133
25.326912,0.234468
25.357966,0.235802
25.389135,0.237139
25.420361,0.238474
25.451702,0.239813
25.483100,0.241150
25.514613,0.242490
25.546183,0.243828
25.577867,0.245170
25.609666,0.246514
25.641523,0.247857
25.673437,0.249198
25.705522,0.250546
25.737608,0.251889
25.769865,0.253239
25.802180,0.254587
25.834610,0.255937
25.867096,0.257286
25.899698,0.258638
25.932356,0.259988
25.965129,0.261341
25.998017,0.262696
26.031020,0.264054
26.064079,0.265410
26.097254,0.266769
26.130485,0.268126
26.163831,0.269485
26.197292,0.270847
26.230867,0.272212
