M,npr,xt,Hm,xd,yd,xe,Hs,xf,yf,ye,yt,theta3
5.000000,40.000000,0.707928,0.347637,1.010593,0.411170,1.356650,0.227485,0.923911,0.286432,0.227485,0.347637,0.276139
5.000000,40.627508,0.729094,0.337553,1.037183,0.402684,1.379057,0.220742,0.947459,0.277727,0.220742,0.337553,0.267412
5.000000,41.255015,0.750140,0.327723,1.063545,0.394487,1.401458,0.214184,0.970794,0.269282,0.214184,0.327723,0.258907
5.000000,41.882523,0.771075,0.318128,1.089695,0.386561,1.423854,0.207795,0.993926,0.261079,0.207795,0.318128,0.250614
5.000000,42.510030,0.791905,0.308755,1.115645,0.378889,1.446245,0.201566,1.016863,0.253102,0.201566,0.308755,0.242523
5.000000,43.137538,0.812636,0.299588,1.141409,0.371455,1.468633,0.195485,1.039614,0.245334,0.195485,0.299588,0.234625
5.000000,43.765046,0.833276,0.290614,1.166997,0.364246,1.491018,0.189541,1.062186,0.237762,0.189541,0.290614,0.226911
5.000000,44.392553,0.853828,0.281823,1.192421,0.357247,1.513401,0.183727,1.084587,0.230372,0.183727,0.281823,0.219373
5.000000,45.020061,0.874299,0.273202,1.217690,0.350448,1.535783,0.178035,1.106822,0.223154,0.178035,0.273202,0.212003
5.000000,45.647569,0.894693,0.264741,1.242813,0.343836,1.558166,0.172456,1.128899,0.216095,0.172456,0.264741,0.204795
5.000000,46.275076,0.915015,0.256432,1.267800,0.337402,1.580549,0.166983,1.150822,0.209186,0.166983,0.256432,0.197742
5.000000,46.902584,0.935270,0.248266,1.292657,0.331136,1.602933,0.161611,1.172596,0.202418,0.161611,0.248266,0.190838
5.000000,47.530091,0.955462,0.240235,1.317393,0.325029,1.625320,0.156334,1.194227,0.195781,0.156334,0.240235,0.184076
5.000000,48.157599,0.975594,0.232332,1.342015,0.319074,1.647710,0.151146,1.215719,0.189269,0.151146,0.232332,0.177450
5.000000,48.785107,0.995671,0.224550,1.366528,0.313262,1.670104,0.146042,1.237076,0.182873,0.146042,0.224550,0.170957
5.000000,49.412614,1.015694,0.216882,1.390940,0.307587,1.692502,0.141018,1.258301,0.176587,0.141018,0.216882,0.164590
5.000000,50.040122,1.035669,0.209323,1.415255,0.302042,1.714905,0.136070,1.279397,0.170404,0.136070,0.209323,0.158346
5.000000,50.667630,1.055597,0.201868,1.439479,0.296622,1.737314,0.131194,1.300368,0.164319,0.131194,0.201868,0.152219
5.000000,51.295137,1.075482,0.194511,1.463616,0.291320,1.759728,0.126385,1.321216,0.158326,0.126385,0.194511,0.146205
5.000000,51.922645,1.095326,0.187249,1.487672,0.286132,1.782150,0.121641,1.341944,0.152419,0.121641,0.187249,0.140300
5.000000,52.550152,1.115131,0.180076,1.511650,0.281052,1.804578,0.116959,1.362554,0.146595,0.116959,0.180076,0.134501
5.000000,53.177660,1.134900,0.172988,1.535555,0.276077,1.827013,0.112336,1.383047,0.140848,0.112336,0.172988,0.128804
5.000000,53.805168,1.154635,0.165983,1.559389,0.271201,1.849456,0.107769,1.403425,0.135175,0.107769,0.165983,0.123204
5.000000,54.432675,1.174337,0.159057,1.583157,0.266422,1.871906,0.103255,1.423689,0.129572,0.103255,0.159057,0.117700
5.000000,55.060183,1.194009,0.152206,1.606860,0.261736,1.894364,0.098793,1.443841,0.124034,0.098793,0.152206,0.112288
5.000000,55.687690,1.213651,0.145427,1.630503,0.257138,1.916829,0.094381,1.463881,0.118559,0.094381,0.145427,0.106965
5.000000,56.315198,1.233266,0.138719,1.654087,0.252627,1.939302,0.090015,1.483809,0.113143,0.090015,0.138719,0.101728
