M,npr,xt,Hm,xd,yd,xe,Hs,xf,yf,ye,yt,theta3
5.000000,40.000000,0.707928,0.347637,1.010593,0.411170,1.356650,0.227485,0.923911,0.286432,0.227485,0.347637,0.276139
5.000000,40.250000,0.716375,0.343588,1.021215,0.407754,1.365577,0.224776,0.933319,0.282931,0.224776,0.343588,0.272635
5.000000,40.500000,0.724803,0.339581,1.031799,0.404384,1.374504,0.222097,0.942692,0.279474,0.222097,0.339581,0.269167
5.000000,40.750000,0.733211,0.335615,1.042346,0.401062,1.383430,0.219448,0.952031,0.276059,0.219448,0.335615,0.265735
5.000000,41.000000,0.741601,0.331688,1.052858,0.397785,1.392355,0.216828,0.961336,0.272684,0.216828,0.331688,0.262337
5.000000,41.250000,0.749972,0.327800,1.063335,0.394551,1.401279,0.214235,0.970608,0.269349,0.214235,0.327800,0.258974
5.000000,41.500000,0.758326,0.323950,1.073779,0.391361,1.410202,0.211670,0.979849,0.266052,0.211670,0.323950,0.255645
5.000000,41.750000,0.766663,0.320136,1.084189,0.388213,1.419124,0.209131,0.989057,0.262792,0.209131,0.320136,0.252348
5.000000,42.000000,0.774982,0.316357,1.094568,0.385106,1.428046,0.206617,0.998234,0.259569,0.206617,0.316357,0.249084
5.000000,42.250000,0.783286,0.312613,1.104915,0.382038,1.436967,0.204129,1.007381,0.256381,0.204129,0.312613,0.245852
5.000000,42.500000,0.791573,0.308903,1.115232,0.379010,1.445887,0.201664,1.016498,0.253228,0.201664,0.308903,0.242651
5.000000,42.750000,0.799844,0.305226,1.125519,0.376019,1.454807,0.199223,1.025585,0.250107,0.199223,0.305226,0.239481
5.000000,43.000000,0.808101,0.301580,1.135777,0.373065,1.463726,0.196805,1.034643,0.247019,0.196805,0.301580,0.236340
5.000000,43.250000,0.816342,0.297966,1.146007,0.370147,1.472645,0.194409,1.043672,0.243963,0.194409,0.297966,0.233229
5.000000,43.500000,0.824569,0.294382,1.156210,0.367264,1.481563,0.192035,1.052673,0.240937,0.192035,0.294382,0.230147
5.000000,43.750000,0.832782,0.290827,1.166385,0.364416,1.490481,0.189682,1.061647,0.237941,0.189682,0.290827,0.227094
5.000000,44.000000,0.840981,0.287302,1.176535,0.361601,1.499399,0.187350,1.070593,0.234974,0.187350,0.287302,0.224068
5.000000,44.250000,0.849166,0.283805,1.186659,0.358819,1.508316,0.185037,1.079513,0.232036,0.185037,0.283805,0.221070
5.000000,44.500000,0.857339,0.280335,1.196758,0.356069,1.517234,0.182744,1.088406,0.229125,0.182744,0.280335,0.218099
5.000000,44.750000,0.865498,0.276892,1.206833,0.353350,1.526151,0.180470,1.097272,0.226240,0.180470,0.276892,0.215155
5.000000,45.000000,0.873645,0.273475,1.216884,0.350662,1.535068,0.178215,1.106114,0.223382,0.178215,0.273475,0.212236
5.000000,45.250000,0.881780,0.270083,1.226912,0.348004,1.543985,0.175977,1.114930,0.220549,0.175977,0.270083,0.209344
5.000000,45.500000,0.889904,0.266717,1.236917,0.345375,1.552902,0.173758,1.123721,0.217741,0.173758,0.266717,0.206476
5.000000,45.750000,0.898015,0.263375,1.246901,0.342774,1.561819,0.171555,1.132488,0.214957,0.171555,0.263375,0.203634
5.000000,46.000000,0.906115,0.260057,1.256863,0.340201,1.570737,0.169369,1.141230,0.212197,0.169369,0.260057,0.200816
5.000000,46.250000,0.914205,0.256762,1.266804,0.337656,1.579654,0.167200,1.149949,0.209460,0.167200,0.256762,0.198021
5.000000,46.500000,0.922283,0.253489,1.276724,0.335137,1.588572,0.165046,1.158643,0.206744,0.165046,0.253489,0.195251
